feedback_id,customer_id,feedback_date,csat_score,feedback_text
FB-0000099,CUST-100031,2026-03-23,5.3,We are considering cancelling at renewal.
FB-0000100,CUST-100031,2026-06-21,3.7,We are considering cancelling at renewal.
FB-0000101,CUST-100032,2026-03-17,5.3,We've had too many problems and are seriously considering alternatives.
FB-0000102,CUST-100032,2026-07-02,3.5,The service problems and billing issues make it difficult to justify continuing.
FB-0000103,CUST-100033,2026-04-15,5.3,The problem is still unresolved and this is becoming frustrating.
FB-0000104,CUST-100033,2026-07-20,3.0,The problem is still unresolved and this is becoming frustrating.
FB-0000105,CUST-100033,2026-04-16,5.1,The problem is still unresolved and this is becoming frustrating.
FB-0000106,CUST-100034,2026-02-05,3.9,I don't understand the latest invoice.
FB-0000107,CUST-100034,2026-05-16,7.2,I don't understand the latest invoice.
FB-0000108,CUST-100035,2026-06-22,8.9,The platform has been reliable and support was helpful.
FB-0000109,CUST-100035,2026-02-24,9.7,The platform has been reliable and support was helpful.
FB-0000110,CUST-100035,2026-06-06,7.1,Everything worked well and the issue was resolved quickly.
FB-0000111,CUST-100036,2026-06-07,9.3,Everything worked well and the issue was resolved quickly.
FB-0000112,CUST-100036,2026-05-25,8.5,The platform has been reliable and support was helpful.
FB-0000113,CUST-100036,2026-04-18,8.8,Everything worked well and the issue was resolved quickly.
FB-0000114,CUST-100037,2026-06-25,6.8,I'm not sure we're getting enough value from the subscription.
FB-0000115,CUST-100037,2026-05-04,8.2,I'm not sure we're getting enough value from the subscription.
FB-0000116,CUST-100037,2026-04-19,6.0,I'm not sure we're getting enough value from the subscription.
FB-0000117,CUST-100038,2026-04-06,7.1,Everything worked well and the issue was resolved quickly.
FB-0000118,CUST-100038,2026-02-18,9.3,Everything worked well and the issue was resolved quickly.
FB-0000119,CUST-100038,2026-02-09,7.9,Everything worked well and the issue was resolved quickly.
FB-0000120,CUST-100038,2026-05-07,9.0,The platform has been reliable and support was helpful.
FB-0000121,CUST-100039,2026-03-26,9.1,The platform has been reliable and support was helpful.
FB-0000122,CUST-100039,2026-07-10,9.3,The platform has been reliable and support was helpful.
FB-0000123,CUST-100039,2026-06-01,10.0,The platform has been reliable and support was helpful.
FB-0000124,CUST-100040,2026-06-30,4.5,Several important features are not working as expected.
FB-0000125,CUST-100040,2026-03-22,6.3,The recent product changes made our workflow harder.
FB-0000126,CUST-100040,2026-02-05,4.2,Several important features are not working as expected.
FB-0000127,CUST-100040,2026-02-22,4.6,Several important features are not working as expected.
FB-0000128,CUST-100041,2026-04-12,6.2,There appears to be an unexpected charge on my account.
FB-0000129,CUST-100041,2026-07-08,4.4,There appears to be an unexpected charge on my account.
FB-0000130,CUST-100041,2026-05-15,6.2,There appears to be an unexpected charge on my account.
FB-0000131,CUST-100042,2026-06-17,8.5,Everything worked well and the issue was resolved quickly.
FB-0000132,CUST-100042,2026-05-21,8.3,The platform has been reliable and support was helpful.
FB-0000133,CUST-100043,2026-05-15,9.0,The platform has been reliable and support was helpful.
FB-0000134,CUST-100043,2026-03-24,8.9,The platform has been reliable and support was helpful.
FB-0000135,CUST-100043,2026-04-09,9.6,The platform has been reliable and support was helpful.
FB-0000136,CUST-100043,2026-06-03,7.5,The platform has been reliable and support was helpful.
FB-0000137,CUST-100044,2026-06-17,7.8,Everything worked well and the issue was resolved quickly.
FB-0000138,CUST-100044,2026-03-26,8.5,The platform has been reliable and support was helpful.
FB-0000139,CUST-100044,2026-06-17,10.0,Everything worked well and the issue was resolved quickly.
FB-0000140,CUST-100045,2026-07-10,8.7,The platform has been reliable and support was helpful.
FB-0000141,CUST-100045,2026-06-20,9.4,Everything worked well and the issue was resolved quickly.
FB-0000142,CUST-100046,2026-06-27,5.0,I've contacted support multiple times for the same issue.
FB-0000143,CUST-100046,2026-02-10,5.0,I've contacted support multiple times for the same issue.
FB-0000144,CUST-100046,2026-02-03,4.7,The problem is still unresolved and this is becoming frustrating.
FB-0000145,CUST-100046,2026-07-15,5.6,I've contacted support multiple times for the same issue.
FB-0000146,CUST-100047,2026-02-27,6.0,I'm not sure we're getting enough value from the subscription.
FB-0000147,CUST-100047,2026-02-07,7.2,We aren't using the platform as much as before.
FB-0000148,CUST-100047,2026-06-18,7.2,We aren't using the platform as much as before.
FB-0000149,CUST-100047,2026-03-20,7.7,We aren't using the platform as much as before.
FB-0000150,CUST-100048,2026-07-24,7.3,We aren't using the platform as much as before.
FB-0000151,CUST-100048,2026-05-02,7.2,I'm not sure we're getting enough value from the subscription.
FB-0000152,CUST-100048,2026-06-26,7.3,We aren't using the platform as much as before.
FB-0000153,CUST-100049,2026-06-16,7.9,Everything worked well and the issue was resolved quickly.
FB-0000154,CUST-100049,2026-05-20,9.5,The platform has been reliable and support was helpful.
FB-0000155,CUST-100049,2026-05-01,8.7,The platform has been reliable and support was helpful.
FB-0000156,CUST-100049,2026-06-08,9.1,Everything worked well and the issue was resolved quickly.
FB-0000157,CUST-100050,2026-04-20,5.5,There appears to be an unexpected charge on my account.
FB-0000158,CUST-100050,2026-04-23,6.9,There appears to be an unexpected charge on my account.
FB-0000159,CUST-100050,2026-05-25,5.8,I don't understand the latest invoice.
FB-0000160,CUST-100050,2026-02-24,5.5,There appears to be an unexpected charge on my account.
FB-0000161,CUST-100051,2026-03-05,7.8,"I was frustrated by the new interface, but overall the product is valuable."
FB-0000162,CUST-100051,2026-05-18,8.6,"The issue was annoying, but the team resolved it quickly."
FB-0000163,CUST-100051,2026-06-19,8.0,"The issue was annoying, but the team resolved it quickly."
FB-0000164,CUST-100052,2026-06-27,10.0,The platform has been reliable and support was helpful.
FB-0000165,CUST-100052,2026-03-05,9.2,Everything worked well and the issue was resolved quickly.
FB-0000166,CUST-100052,2026-05-08,9.8,Everything worked well and the issue was resolved quickly.
FB-0000167,CUST-100053,2026-04-03,8.2,Everything worked well and the issue was resolved quickly.
FB-0000168,CUST-100053,2026-02-12,9.6,The platform has been reliable and support was helpful.
FB-0000169,CUST-100053,2026-07-25,8.8,The platform has been reliable and support was helpful.
FB-0000170,CUST-100053,2026-05-28,8.2,Everything worked well and the issue was resolved quickly.
FB-0000171,CUST-100054,2026-05-27,5.2,I don't understand the latest invoice.
FB-0000172,CUST-100054,2026-07-09,5.1,There appears to be an unexpected charge on my account.
FB-0000173,CUST-100054,2026-03-15,6.4,There appears to be an unexpected charge on my account.
FB-0000174,CUST-100055,2026-02-03,3.3,We've had too many problems and are seriously considering alternatives.
FB-0000175,CUST-100055,2026-04-05,4.3,The service problems and billing issues make it difficult to justify continuing.
FB-0000176,CUST-100055,2026-04-19,4.0,We've had too many problems and are seriously considering alternatives.
FB-0000177,CUST-100055,2026-02-22,4.9,The service problems and billing issues make it difficult to justify continuing.
FB-0000178,CUST-100056,2026-02-08,4.2,I've contacted support multiple times for the same issue.
FB-0000179,CUST-100056,2026-02-20,4.6,The problem is still unresolved and this is becoming frustrating.
FB-0000180,CUST-100056,2026-07-14,5.7,I've contacted support multiple times for the same issue.
FB-0000181,CUST-100057,2026-02-20,4.1,The problem is still unresolved and this is becoming frustrating.
FB-0000182,CUST-100057,2026-06-17,4.4,I've contacted support multiple times for the same issue.
FB-0000183,CUST-100058,2026-07-05,7.2,The platform has been reliable and support was helpful.
FB-0000184,CUST-100058,2026-03-15,8.2,The platform has been reliable and support was helpful.
FB-0000185,CUST-100058,2026-05-27,8.0,The platform has been reliable and support was helpful.
FB-0000186,CUST-100058,2026-05-23,9.8,Everything worked well and the issue was resolved quickly.
FB-0000187,CUST-100059,2026-07-01,7.9,"The issue was annoying, but the team resolved it quickly."
FB-0000188,CUST-100059,2026-04-27,7.7,"I was frustrated by the new interface, but overall the product is valuable."
FB-0000189,CUST-100059,2026-04-30,7.6,"I was frustrated by the new interface, but overall the product is valuable."
FB-0000190,CUST-100060,2026-06-05,8.7,The platform has been reliable and support was helpful.
FB-0000191,CUST-100060,2026-07-23,8.5,Everything worked well and the issue was resolved quickly.
FB-0000192,CUST-100060,2026-03-18,8.9,Everything worked well and the issue was resolved quickly.
FB-0000193,CUST-100060,2026-03-11,10.0,The platform has been reliable and support was helpful.
FB-0000194,CUST-100061,2026-04-15,8.4,Everything worked well and the issue was resolved quickly.
FB-0000195,CUST-100061,2026-02-10,7.5,The platform has been reliable and support was helpful.
FB-0000196,CUST-100061,2026-02-13,8.1,Everything worked well and the issue was resolved quickly.
FB-0000197,CUST-100061,2026-04-21,8.0,Everything worked well and the issue was resolved quickly.
FB-0000198,CUST-100062,2026-04-20,7.2,Everything worked well and the issue was resolved quickly.
FB-0000199,CUST-100062,2026-07-21,7.6,Everything worked well and the issue was resolved quickly.
FB-0000200,CUST-100062,2026-03-11,9.7,The platform has been reliable and support was helpful.
FB-0000201,CUST-100062,2026-05-21,7.9,Everything worked well and the issue was resolved quickly.
FB-0000202,CUST-100063,2026-03-29,3.3,I've contacted support multiple times for the same issue.
FB-0000203,CUST-100063,2026-02-18,4.8,I've contacted support multiple times for the same issue.
FB-0000204,CUST-100063,2026-02-12,6.7,I've contacted support multiple times for the same issue.
FB-0000205,CUST-100064,2026-03-25,6.9,The platform has been reliable and support was helpful.
FB-0000206,CUST-100064,2026-06-21,10.0,The platform has been reliable and support was helpful.
FB-0000207,CUST-100064,2026-07-12,9.1,The platform has been reliable and support was helpful.
FB-0000208,CUST-100064,2026-06-23,9.3,The platform has been reliable and support was helpful.
FB-0000209,CUST-100065,2026-03-09,9.6,Everything worked well and the issue was resolved quickly.
FB-0000210,CUST-100065,2026-05-22,8.0,The platform has been reliable and support was helpful.
FB-0000211,CUST-100065,2026-07-07,10.0,The platform has been reliable and support was helpful.
FB-0000212,CUST-100066,2026-04-04,3.7,The recent product changes made our workflow harder.
FB-0000213,CUST-100066,2026-06-16,6.0,Several important features are not working as expected.
FB-0000214,CUST-100067,2026-07-23,7.8,The platform has been reliable and support was helpful.
FB-0000215,CUST-100067,2026-05-14,9.3,The platform has been reliable and support was helpful.
FB-0000216,CUST-100067,2026-04-11,8.2,Everything worked well and the issue was resolved quickly.
FB-0000217,CUST-100068,2026-03-08,8.5,The platform has been reliable and support was helpful.
FB-0000218,CUST-100068,2026-06-25,8.4,Everything worked well and the issue was resolved quickly.
FB-0000219,CUST-100068,2026-07-24,9.6,The platform has been reliable and support was helpful.
FB-0000220,CUST-100069,2026-02-23,4.9,I've contacted support multiple times for the same issue.
FB-0000221,CUST-100069,2026-04-22,5.1,The problem is still unresolved and this is becoming frustrating.
FB-0000222,CUST-100069,2026-02-15,3.2,I've contacted support multiple times for the same issue.
FB-0000223,CUST-100069,2026-05-26,4.6,I've contacted support multiple times for the same issue.
FB-0000224,CUST-100070,2026-02-09,6.2,"The issue was annoying, but the team resolved it quickly."
FB-0000225,CUST-100070,2026-06-14,8.1,"I was frustrated by the new interface, but overall the product is valuable."
FB-0000226,CUST-100070,2026-05-05,8.3,"I was frustrated by the new interface, but overall the product is valuable."
FB-0000227,CUST-100070,2026-03-01,7.8,"I was frustrated by the new interface, but overall the product is valuable."
FB-0000228,CUST-100071,2026-07-24,8.6,Everything worked well and the issue was resolved quickly.
FB-0000229,CUST-100071,2026-07-13,7.5,The platform has been reliable and support was helpful.
FB-0000230,CUST-100071,2026-07-22,9.5,The platform has been reliable and support was helpful.
FB-0000231,CUST-100072,2026-04-17,5.0,The problem is still unresolved and this is becoming frustrating.
FB-0000232,CUST-100072,2026-04-19,4.8,The problem is still unresolved and this is becoming frustrating.
FB-0000233,CUST-100072,2026-02-06,5.8,The problem is still unresolved and this is becoming frustrating.
FB-0000234,CUST-100073,2026-04-12,8.2,The platform has been reliable and support was helpful.
FB-0000235,CUST-100073,2026-06-26,8.4,The platform has been reliable and support was helpful.
FB-0000236,CUST-100073,2026-05-04,8.1,The platform has been reliable and support was helpful.
FB-0000237,CUST-100073,2026-04-30,9.3,The platform has been reliable and support was helpful.
FB-0000238,CUST-100074,2026-06-01,3.0,We are considering cancelling at renewal.
FB-0000239,CUST-100074,2026-03-29,2.7,We are considering cancelling at renewal.
FB-0000240,CUST-100074,2026-07-02,5.6,We are considering cancelling at renewal.
FB-0000241,CUST-100074,2026-04-24,3.6,We're evaluating alternatives and may move away from the platform.
FB-0000242,CUST-100075,2026-03-03,8.6,Everything worked well and the issue was resolved quickly.
FB-0000243,CUST-100075,2026-06-26,7.9,Everything worked well and the issue was resolved quickly.
FB-0000244,CUST-100075,2026-02-08,9.3,The platform has been reliable and support was helpful.
FB-0000245,CUST-100076,2026-03-07,7.7,The platform has been reliable and support was helpful.
FB-0000246,CUST-100076,2026-05-22,7.7,The platform has been reliable and support was helpful.
FB-0000247,CUST-100077,2026-04-30,4.0,The recent product changes made our workflow harder.
FB-0000248,CUST-100077,2026-03-06,3.8,The recent product changes made our workflow harder.
FB-0000249,CUST-100077,2026-02-16,5.2,The recent product changes made our workflow harder.
FB-0000250,CUST-100077,2026-03-12,5.8,The recent product changes made our workflow harder.
FB-0000251,CUST-100078,2026-07-06,5.9,I've contacted support multiple times for the same issue.
FB-0000252,CUST-100078,2026-05-26,6.4,The problem is still unresolved and this is becoming frustrating.
FB-0000253,CUST-100079,2026-04-01,4.0,I've contacted support multiple times for the same issue.
FB-0000254,CUST-100079,2026-03-27,3.0,I've contacted support multiple times for the same issue.
FB-0000255,CUST-100079,2026-04-23,5.1,I've contacted support multiple times for the same issue.
FB-0000256,CUST-100080,2026-07-25,9.3,The platform has been reliable and support was helpful.
FB-0000257,CUST-100080,2026-07-10,10.0,Everything worked well and the issue was resolved quickly.
FB-0000258,CUST-100080,2026-03-16,7.4,Everything worked well and the issue was resolved quickly.
FB-0000259,CUST-100080,2026-03-05,8.2,Everything worked well and the issue was resolved quickly.
FB-0000260,CUST-100081,2026-03-29,4.6,We've had too many problems and are seriously considering alternatives.
FB-0000261,CUST-100081,2026-07-03,1.3,We've had too many problems and are seriously considering alternatives.
FB-0000262,CUST-100082,2026-03-13,7.5,We aren't using the platform as much as before.
FB-0000263,CUST-100082,2026-06-25,6.6,We aren't using the platform as much as before.
FB-0000264,CUST-100082,2026-03-23,8.2,I'm not sure we're getting enough value from the subscription.
FB-0000265,CUST-100083,2026-04-20,7.2,I'm not sure we're getting enough value from the subscription.
FB-0000266,CUST-100083,2026-03-23,6.6,I'm not sure we're getting enough value from the subscription.
FB-0000267,CUST-100084,2026-03-01,8.4,The platform has been reliable and support was helpful.
FB-0000268,CUST-100084,2026-06-05,8.1,Everything worked well and the issue was resolved quickly.
FB-0000269,CUST-100084,2026-06-01,8.6,Everything worked well and the issue was resolved quickly.
FB-0000270,CUST-100085,2026-02-27,10.0,Everything worked well and the issue was resolved quickly.
FB-0000271,CUST-100085,2026-06-26,8.9,Everything worked well and the issue was resolved quickly.
FB-0000272,CUST-100086,2026-06-28,9.8,The platform has been reliable and support was helpful.
FB-0000273,CUST-100086,2026-05-26,7.6,The platform has been reliable and support was helpful.
FB-0000274,CUST-100086,2026-04-16,9.8,Everything worked well and the issue was resolved quickly.
FB-0000275,CUST-100086,2026-05-13,9.0,Everything worked well and the issue was resolved quickly.
FB-0000276,CUST-100087,2026-07-15,7.9,The platform has been reliable and support was helpful.
FB-0000277,CUST-100087,2026-04-13,8.0,The platform has been reliable and support was helpful.
FB-0000278,CUST-100088,2026-05-12,4.5,We've had too many problems and are seriously considering alternatives.
FB-0000279,CUST-100088,2026-05-13,5.2,The service problems and billing issues make it difficult to justify continuing.
FB-0000280,CUST-100088,2026-06-20,3.5,We've had too many problems and are seriously considering alternatives.
FB-0000281,CUST-100089,2026-06-21,6.6,I'm not sure we're getting enough value from the subscription.
FB-0000282,CUST-100089,2026-04-27,5.6,We aren't using the platform as much as before.
FB-0000283,CUST-100089,2026-02-18,5.0,I'm not sure we're getting enough value from the subscription.
FB-0000284,CUST-100089,2026-06-04,5.1,We aren't using the platform as much as before.
FB-0000285,CUST-100090,2026-06-22,4.0,We're evaluating alternatives and may move away from the platform.
FB-0000286,CUST-100090,2026-02-25,4.7,We are considering cancelling at renewal.
FB-0000287,CUST-100090,2026-02-16,2.5,We are considering cancelling at renewal.
FB-0000288,CUST-100091,2026-07-21,7.4,I'm not sure we're getting enough value from the subscription.
FB-0000289,CUST-100091,2026-03-03,7.0,We aren't using the platform as much as before.
FB-0000290,CUST-100091,2026-05-17,5.7,We aren't using the platform as much as before.
FB-0000291,CUST-100092,2026-02-11,6.8,I'm not sure we're getting enough value from the subscription.
FB-0000292,CUST-100092,2026-07-06,7.2,We aren't using the platform as much as before.
FB-0000293,CUST-100092,2026-07-02,7.6,I'm not sure we're getting enough value from the subscription.
FB-0000294,CUST-100093,2026-06-29,10.0,The platform has been reliable and support was helpful.
FB-0000295,CUST-100093,2026-07-13,7.7,Everything worked well and the issue was resolved quickly.
FB-0000296,CUST-100093,2026-05-14,9.8,Everything worked well and the issue was resolved quickly.
FB-0000297,CUST-100094,2026-05-14,7.5,I'm not sure we're getting enough value from the subscription.
FB-0000298,CUST-100094,2026-03-14,6.7,I'm not sure we're getting enough value from the subscription.
FB-0000299,CUST-100095,2026-07-16,9.2,The platform has been reliable and support was helpful.
FB-0000300,CUST-100095,2026-07-19,8.9,The platform has been reliable and support was helpful.
FB-0000301,CUST-100095,2026-05-30,9.3,Everything worked well and the issue was resolved quickly.
FB-0000302,CUST-100095,2026-04-06,10.0,The platform has been reliable and support was helpful.
FB-0000303,CUST-100096,2026-02-09,8.3,The platform has been reliable and support was helpful.
FB-0000304,CUST-100096,2026-06-23,9.3,Everything worked well and the issue was resolved quickly.
FB-0000305,CUST-100096,2026-05-03,9.3,The platform has been reliable and support was helpful.
FB-0000306,CUST-100097,2026-07-12,6.3,I don't understand the latest invoice.
FB-0000307,CUST-100097,2026-03-02,7.1,There appears to be an unexpected charge on my account.
FB-0000308,CUST-100098,2026-05-10,1.7,We've had too many problems and are seriously considering alternatives.
FB-0000309,CUST-100098,2026-02-25,4.2,We've had too many problems and are seriously considering alternatives.
FB-0000310,CUST-100098,2026-04-02,5.0,The service problems and billing issues make it difficult to justify continuing.
FB-0000311,CUST-100098,2026-05-30,3.5,The service problems and billing issues make it difficult to justify continuing.
FB-0000312,CUST-100099,2026-06-29,4.3,The problem is still unresolved and this is becoming frustrating.
FB-0000313,CUST-100099,2026-06-24,5.1,I've contacted support multiple times for the same issue.
FB-0000314,CUST-100100,2026-03-30,8.3,The platform has been reliable and support was helpful.
FB-0000315,CUST-100100,2026-02-12,7.7,Everything worked well and the issue was resolved quickly.
FB-0000316,CUST-100100,2026-02-25,8.2,The platform has been reliable and support was helpful.
FB-0000317,CUST-100101,2026-04-17,7.2,I don't understand the latest invoice.
FB-0000318,CUST-100101,2026-03-12,4.8,I don't understand the latest invoice.
FB-0000319,CUST-100101,2026-02-08,4.6,There appears to be an unexpected charge on my account.
FB-0000320,CUST-100102,2026-06-16,6.4,I'm not sure we're getting enough value from the subscription.
FB-0000321,CUST-100102,2026-06-22,8.2,We aren't using the platform as much as before.
FB-0000322,CUST-100103,2026-06-17,3.0,We are considering cancelling at renewal.
FB-0000323,CUST-100103,2026-07-08,3.2,We're evaluating alternatives and may move away from the platform.
FB-0000324,CUST-100104,2026-03-17,2.3,We're evaluating alternatives and may move away from the platform.
FB-0000325,CUST-100104,2026-02-26,2.8,We're evaluating alternatives and may move away from the platform.
